"idtram","nombre","descripcion","requisitos","estatus","tipo","prioridad","nivel","costo","visitas","frecuencia","tiemporesp","vigencia","conteo_etapas","conteo_requisitos"
1596,"Aprobación del Plan de Manejo de Residuos de Manejo Especial.","El Plan de Manejo de Residuos de Manejo Especial, en conformidad con el artículo 156 de la Ley para la Protección al Ambiente del Estado de Hidalgo, estable que las personas físicas o morales generadoras de residuos de manejo especial, deberán presentar sus planes y programas de manejo que definan acciones y medidas para la prevención, control, minimización, reutilización y reciclaje, así como su informe de avances y logros de forma semestral, cuyo objetivo es minimizar la generación y maximizar la valorización y aprovechamiento de los residuos, por lo que al lograr su implementación se incrementa la cantidad de residuos aprovechados, y como consecuencia se disminuye la carga sobre los recursos naturales y sobre la vida útil de los sitios de disposición final donde se disponen.","1.	Oficio dirigido al Secretario de Medio Ambiente y Recursos Naturales del Estado de Hidalgo, en el cual solicite la Aprobación del Plan de Manejo. (Debe señalar domicilio para oír y recibir notificaciones en la ciudad de Pachuca de Soto, de acuerdo con lo que establecen los artículos 3 y 38 de la Ley Estatal de Procedimiento Administrativo para el Estado de Hidalgo).\n2.	Ingresar información de la “Guía para la elaboración del plan de manejo”\n3.	Realizar el pago de derechos.\n","Publicado","Trámite","Alta","Informativo",113.14,2193,"7","30 días hábiles (ver observaciones)","PERMANENTE HASTA DARSE DE BAJA.",6,3
1633,"Reinscripción UTMIR","Reinscripción a estudios de educación superior en los programas ofertados por la Universidad.","1. Ser alumna o alumno regular.\n2. No contar con adeudos financieros pendientes. \n3. Enviar mediante correo electrónico institucional el deseo de seguir estudiando en la UTMiR.\n4. Realizar pago de concepto de reinscripción en las fechas señaladas y enviar mediante correo electrónico institucional el comprobante de pago al correo de Control Escolar de la UTMiR.","Publicado","Trámite","Alta","Informativo",1273,403,"Los periodos de reinscripción solamente aplican en enero, mayo y septiembre","5 minutos","Cuatrimestral",1,2
1635,"Examen de admisión UTMIR","Parte del proceso de admisión a la Universidad, donde se miden los conocimientos y habilidades necesarias para la educación superior.","1. Ser estudiante egresada o egresado de educación media superior.\n2. Realizar el pago de examen de admisión y enviar mediante correo electrónico institucional el recibo de pago como medio de comprobación al correo de la Oficina de Difusión de la UTMiR.\n3. Realizar el examen en la fecha definida mediante correo electrónico institucional.\n","Publicado","Trámite","Alta","Informativo",255,1074,"no aplica","25 minutos","Cuatrimestral",5,1
1654,"Inscripción Nivel Licenciatura Bilingüe UPMH","Solicitud de aspirantes que reúnen los requisitos en la convocatoria vigente, para su proceso de Inscripción para  su ingreso al Universidad Politécnica Metropolitana de Hidalgo","1.- Haber concluido satisfactoriamente la educación media superior.\n\n2.- 3 Fotografías tamaño credencial ovalo 3.5 x 5 CM (recientes); vestimenta ropa formal, en blanco y negro, papel mate, con retoque y fondo blanco (no instantáneas). Entregar en bolsa transparente de 8 x 15 cm.\nDamas: blusa blanca, saco negro, maquillaje discreto, peinado que permita apreciar frente y orejas, se permite aretes pequeños tipo broquel.\nCaballeros: camisa blanca, corbata oscura, saco negro, afeitado, sin barba ni bigote, cabello corto, sin aretes.\n3.- Original de Acta de Nacimiento (formato oficial actual) y 2 copias fotostáticas en tamaño carta.\n4.- Original del Certificado de Bachillerato y 2 copias fotostáticas (ambos lados) en tamaño carta\n5.- 3 Copias fotostáticas de la Credencial del INE en ampliación al 200% (anverso y reverso en el mismo frente) en tamaño carta. Si aún no tienes tu credencial de INE presenta una copia de tu comprobante que está en trámite.\n6.- 1 copias fotostáticas del comprobante de domicilio en tamaño carta (preferentemente teléfono, en su defecto agua o luz) con antigüedad no mayor a tres meses.\n7.- F-SE-TE-RE Reglamento de Estudiantes, debidamente firmado por el estudiante \n8.- Acuerdo de privacidad de datos\n9.- F-SE-TE-CE Formato de Compromiso De Entrega De Documentos\n10. 1 Impresión de la C.U.R.P. en tamaño carta bajadas de la página www.consultas.curp.gob.mx (No copias fotostáticas).\n11.- Comprobante de pago","Publicado","Trámite","Alta","De inicio",2478,819,"76","De acuerdo a la convocatoria vigente","Cuatrimestral",10,10
1677,"Contratación de Agua Potable y Alcantarillado Sanitario para Tarifas: Comercial, Industrial y Pública","Establecer los lineamientos para contratar los servicios de la CAASIM con personas usuarias de tarifas comercial, industrial y de servicio público, con la finalidad de reducir los tiempos de atención, mejorar la calidad y calidez en el trato, haciendo un servicio cercano a las personas usuarias. ","1.- Identificación oficial vigente (INE (Instituto Nacional Electoral, Pasaporte, Licencia de Conducir, Cédula profesional. (original y copia\n2.-Escritura completa certificada o constancia notarial (que especifique que la escritura se encuentra en trámite y la fecha respectiva, o cesión de derechos, o posesión FOVI (Fondo de Operación y Financiamiento Bancario a la Vivienda, o FOVISSSTE (Fondo de la Vivienda del Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado o carta de entrega o Contrato de Arrendamiento acompañado de la copia de escritura completa y con autorización para contratar los servicios por el arrendador (anexar identificación del propietario. (original y copia\n3.- Alineamiento y número oficial para colonias, expedido por obras públicas, solo en caso de que en la escritura no este indicado.(original y copia\n4.- Dos croquis de localización de la ubicación de domicilio bien definido o croquis de la constructora.(original y copia\n5.- Identificación oficial vigente y carta poder en caso de que otra persona realice el trámite.(original y copia\n6.- Proyecto hidro-sanitario.(original y copia\n7.- RFC (Registro Federal de Contribuyentes. (original y copia\n\nEn caso de ser persona Moral:\n\n8.- Escritura certificada, acta constitutiva y poder notarial. (original y copia\n9.- Nombramiento.(original y copia\n10.- Identificación oficial del representante legal.(original y copia\n11.- En caso de rentar el inmueble, Contrato de Arrendamiento acompañado de la copia de escritura completa y con autorización para contratar los servicios por el arrendador (anexar identificación del propietario. (original y copia y/o en su caso autorizar que la toma salga a nombre del arrendatario (anexar identificación del propietario. (original y copia","Publicado","Trámite","Alta","Informativo",0,3593,"56","7 días hábiles","NO APLICA",1,15
1694,"Pago de arrendamiento","Proporcionar a los arrendatarios los formatos F7 para el pago de las mensualidades por concepto de arrendamiento de bienes inmuebles, propiedad de Gobierno del Estado.","1.- Formato F7\n2.- Datos del solicitante \n3.- Datos del predio\n4.- Datos del propietario","Publicado","Trámite","Alta","Informativo",NA,798,"39","4 días hábiles","1 Mes",5,1
1705,"Inscripción ITESHU.","Proceso que realiza el aspirante que es aceptado para ingresar a cursar alguno de los programas educativos que se imparten en ITESHU.","Programa académico de Licenciatura \n\n1. Certificado de Secundaria (Escaneado en formato .JPG o .JPEG).\n2. Certificado de Preparatoria o equivalente (Escaneado en formato .JPG o .JPEG).\n3. Acta de nacimiento (Escaneado en formato .JPG o .JPEG).\n 4. Certificado médico (Escaneado en formato .JPG o .JPEG).\n5. Clave única de registro de población (Escaneado en formato .JPG o .JPEG).\n6. Comprobante de pago de derechos \n7. Una fotografía tamaño infantil reciente con fondo blanco en formato .JPG o .JPEG. (Medidas de 3 cm de alto x 2.5 cm de ancho.\n\nPrograma Académico de Posgrado (Maestría)\n\n1. Certificado de Preparatoria o equivalente (Escaneado en formato .JPG o .JPEG).\n2. Acta de nacimiento (Escaneado en formato .JPG o .JPEG).\n3. Certificado de Licenciatura (Escaneado en formato .JPG o .JPEG).\n4. Título de Licenciatura (Escaneado en formato .JPG o .JPEG).\n5. Cédula Profesional de nivel licenciatura (Escaneado en formato .JPG o .JPEG).\n6. Certificado médico (Escaneado en formato .JPG o .JPEG).\n7. Clave Única de Registro de Población (Escaneada en formato .JPG o .JPEG).\n8. Comprobante de pago de derechos.\n 9. Una fotografía tamaño infantil reciente con fondo blanco en formato .JPG o .JPEG. (Medidas de 3 cm de alto x 2.5 cm de ancho.","Publicado","Trámite","Alta","De inicio",22,1164,"39","20 minutos","Primer semestre de educación superior y primer semestre de maestría.",6,0
1715,"Pago de Créditos Fiscales Estatales","Que el contribuyente acreedor a una multa pueda solicitar el Formato para pagarla y solventar un crédito fiscal estatal.","""Oficina Virtual. - Necesitará contar con certificado de firma electrónica (e.firma), expedido por la autoridad fiscal federal competente, o con un usuario y contraseña (expedida a traves del Portal Hidalgo Pagos).  La documentación requerida la deberá cargar en la plataforma en formato digital y legible; al concluir la carga se le notificará un folio, mediante el cual podrá dar seguimiento al estatus del trámite solicitado, así como de cualquier observación que se detecte y le informe sobre la documentación proporcionada, de ser todo correcto se le enviará el formato para que realice el pago de la multa.\n\nOficina Presencial. - Acudiendo a las oficinas directamente agendando a través del link https://citasingresos.hidalgo.gob.mx/citas/view/AccessView.\nDocumentación requerida:\n1.-Presentar la copia o el original de Multa Notificada \n2.-Identificación oficial con fotografía del Contribuyente y/o Representante Legal (Credencial para Votar Vigente, Licencia de conducir Vigente, Cartilla, Pasaporte Vigente o Cédula Profesional).""\n","Publicado","Trámite","Alta","De inicio",0,1493,"70","20 min.","01 de enero a 31 de diciembre de 2024",1,2
1717,"Pago de Créditos Fiscales Federales Coordinados","Que el contribuyente acreedor a una multa pueda solicitar el Formato para pagarla y solventar un crédito fiscal federal.","""Oficina Virtual. - Necesitará contar con certificado de firma electrónica (e.firma), expedido por la autoridad fiscal federal competente, o con un usuario y contraseña (expedida a traves del Portal Hidalgo Pagos).  La documentación requerida la deberá cargar en la plataforma en formato digital y legible; al concluir la carga se le notificará un folio, mediante el cual podrá dar seguimiento al estatus del trámite solicitado, así como de cualquier observación que se detecte y le informe sobre la documentación proporcionada, de ser todo correcto se le enviará el formato para que realice el pago de la multa.\n\nOficina Presencial. - Acudiendo a las oficinas directamente agendando a través del link https://citasingresos.hidalgo.gob.mx/citas/view/AccessView.\nDocumentación requerida:\n1.-Presentar la copia o el original de Multa Notificada \n2.-Identificación oficial con fotografía del Contribuyente y/o Representante Legal (Credencial para Votar Vigente, Licencia de conducir Vigente, Cartilla, Pasaporte Vigente o Cédula Profesional).""\n","Publicado","Trámite","Alta","De inicio",0,774,"439","20 min.","01 de enero a 31 de diciembre de 2024",1,2
4806,"Equivalencia de Estudios UPMH","Definir los criterios, requisitos y procedimientos para la admisión de estudiantes para realizar las equivalencias de estudios internos o externos de los Estudiantes de la Universidad Politécnica Metropolitana de Hidalgo.","1.- Ser estudiante o egresado de la Universidad Politécnica Metropolitana de Hidalgo\n2.- Comprobante de pago en plataforma METRONET\n\n Equivalencia Externa:\n\n3.- Certificado parcial con fotografía o Historial Académico sellado y firmado por la institución y una copia.\n4.- Programas temáticos en formato impreso o electrónico, correspondientes a las asignaturas que cursó en su anterior universidad y que desea hacer equivalentes y una copia.\n5.- Mapa curricular y una copia.\n\nEquivalencia Interna:\n\n6.- Historial académico con calificaciones y una copia. ","Publicado","Trámite","Alta","De inicio",67,1191,"4 al año","31 días hábiles con 3 horas","1 año",9,5
4904,"Reinscripción UPMH","Solicitud de estudiantes para continuar con sus estudios de nivel licenciatura o posgrado","1.- No haber reprobado más de 3 materias en el cuatrimestre inmediato anterior (ser alumno regular)\n2.- En caso de haber reprobado hasta dos materias, cubrir el pago de nivelación académica \n3-. No tener adeudo en biblioteca.\n4.- No tener adeudo en actividades culturales y deportivas\n5.- Comprobante de pago\n6.- Número de matrícula del estudiante","Publicado","Trámite","Alta","Transaccional",0,3463,"407","2 días hábiles","4 meses",4,4
5203,"Modificación del Registro como Generador de Residuos de Manejo Especial","La Modificación del Registro como Generador de Residuos de Manejo Especial, en conformidad con el artículo 40 fracción XXII inciso d) de la Ley Estatal de Derechos de Hidalgo, tiene la finalidad de adicionar al Registro como Generador de Residuos de Manejo Especial, aquellos residuos que se generen por cambios derivados de los procesos industriales, actividades comerciales y de servicios, los cuales implican aumento, reducción o baja de residuos.","1.	Oficio dirigido al Secretario de Medio Ambiente y Recursos Naturales del Estado de Hidalgo, en el cual solicite la Modificación del Registro como Generador de Residuos de Manejo Especial. (Debe señalar domicilio para oír y recibir notificaciones en la ciudad de Pachuca de Soto, de acuerdo con lo que establecen los artículos 3 y 38 de la Ley Estatal de Procedimiento Administrativo para el Estado de Hidalgo).\n2.	Formato de manifiesto como generador de residuos de manejo especial debidamente requisitado (un formato por cada residuo generado en el proceso industrial y/o servicio). Manifiesto como generador. \n3.	Copia simple del contrato con un transportista autorizado por esta Secretaría para la Recolección, Transporte y Disposición Final de los Residuos de Manejo Especial. (Para los residuos que se adicionan al registro).\n4.	Realizar el pago de derechos.\n\nEn caso de generar lodos y biosólidos anexar:\n1. Análisis CRETI por la NOM-052-SEMARNAT-2005 (para lodos y/o biosólidos)) \n2. Análisis por NOM-004-SEMARNAT-2002 (para lodos y/o biosólidos) .\nNota:  El análisis deberá ser realizado por un laboratorio acreditado ante la Entidad Mexicana de Acreditación A.C., con un muestreo con antigüedad no mayor a seis meses a la fecha de inicio del trámite.\n","Publicado","Trámite","Alta","Informativo",336.77,1340,"","30 días hábiles","PERMANENTE HASTA DARSE DE BAJA.cierre definitivo, cambio de razón social y cambio de domicilio).",6,5
5204,"Modificación del Plan de Manejo  de Residuos de Manejo Especial","La Modificación del Plan de Manejo de Residuos de Manejo Especial, en conformidad con el artículo 40 fracción XXII inciso e, de la Ley Estatal de Derechos de Hidalgo, tiene la finalidad de informar algún cambio en su proceso que implique un aumento, reducción, alta o baja de un residuo de acuerdo a lo que se refiere en el Plan de Manejo de Residuos de Manejo Especial inicial.","1.	Oficio dirigido al Secretario de Medio Ambiente y Recursos Naturales del Estado de Hidalgo, en el cual solicite la Modificación del Plan de Manejo de Residuos de Manejo Especial. (Debe señalar domicilio para oír y recibir notificaciones en la ciudad de Pachuca de Soto, de acuerdo con lo que establecen los artículos 3 y 38 de la Ley Estatal de Procedimiento Administrativo para el Estado de Hidalgo).\n2.	Ingresar información de la “Guía para la elaboración del plan de manejo”\n3.	Realizar el pago de derechos.\n","Publicado","Trámite","Alta","Informativo",113.14,2014,"4 ","30 días hábiles","PERMANENTE HASTA DARSE DE BAJA.",6,3
5418,"Trámites Ciudadanos ","Gestionar el trámite de impresión de documentos oficiales: Acta de Nacimiento, Acta de Matrimonio, Acta de Defunción, Acta de Divorcio, CURP, etc. Solicitados por las usuarias ante las Instituciones Públicas y Privadas.\n","Ninguno","Publicado","Trámite","Alta","Informativo",NA,955,"30","30 Minutos","Indefinida",2,1
6658,"Refrendo anual de la Autorización de proyectos para el transporte de residuos de manejo especial.","Por el Refrendo Anual de la Autorización de Proyectos para el Transporte de Residuos de Manejo Especial, en conformidad con el artículo 37 de la Ley para la Protección al Ambiente del Estado de Hidalgo, artículo 40 fracción XVI de la Ley Estatal de Derechos y  artículo 22 fracción XXVIII del Reglamento Interior de la Secretaría de Medio Ambiente y Recursos Naturales de Hidalgo, tiene el propósito de validar que la información siga siendo correcta sobre las unidades, recabando el número de empresas a quienes se les brinda el servicio de la recolección y transporte de residuos de manejo especial, así como la información que avale que los vehículos y los sitios de disposición final se encuentren autorizados.","1.	Solicitud dirigida al Secretario de Medio Ambiente y Recursos Naturales, en la cual se requiera el Refrendo Anual de la Autorización de Proyectos para el Transporte de Residuos de Manejo Especial, anexando la siguiente información:\n2.	Cumplimiento de las condicionantes ordenadas en la resolución anterior.\n3.	Copia certificada o cotejada del contrato o convenio con cada una de las empresas a quien les brinda el servicio de recolección y transporte, que incluya como mínimo: título o proemio, antecedentes, cláusulas que consideren el objeto,  número de Registro como Generador de Residuos de Manejo Especial, tipo y cantidad de residuos, actividad, temporalidad o vigencia, exención laboral y responsabilidad; firmas del contratante (representante legal) y del prestador de servicios, así como dos testigos.\n4.	Copia certificada o cotejada del contrato entre el transportista y el (los) sitio (s) de reciclaje y/o disposición final. (indicando Denominación o Razón Social, Domicilio, Teléfono, Entidad Federativa, Delegación o Municipio, Autorización Ambiental y residuos que recibe).\n5.	Copia simple de Licencia ambiental, Permiso y/o Autorización ambiental emitida por la autoridad correspondiente del (los) sitio (s) de reciclaje y/o disposición final.\n6.	Copia certificada o cotejada de la verificación vehicular actualizada y dictamen de verificación de condiciones físico – mecánica expedido por la SCT actualizado (según sea el caso).\n7.	Copia simple de Tarjeta de Circulación de cada unidad vehicular.\n8.	Requisitar el formato guía, integrando los anexos respectivos.\n9.	Cubrir pago de acuerdo al artículo 40 fracción XV de la Ley de Derechos del Estado de Hidalgo.\n","Publicado","Trámite","Alta","Informativo",113.14,1208,"2","De 60 días hábil de conformidad a lo establecido por el artículo 44 LPAEH","UN AÑO",4,9
6664,"Autorización para la Operación de sitios de Disposición Final para Residuos Provenientes de la Construcción ","Dar a conocer al ciudadano las obligaciones ambientales que debe cumplir un sitio de disposición final de residuos provenientes de la construcción y la factibilidad del mismo en congruencia con el Programa de Ordenamiento Ecológico del Territorio aplicable.\n\nLa implementación de la evaluación de los sitios para la disposición final de residuos provenientes de la construcción para el Estado resulta a partir de la Ley para la Protección al Ambiente del Estado de Hidalgo, instrumento normativo que respalda la protección al ambiente y dispone en los artículos 6 fracción XXI, 159 y 160, así como en los artículos 4 y 25 de la Ley de Prevención y Gestión Integral de Residuos del Estado de Hidalgo.\n\nActualmente, dentro de los residuos generados en la construcción, los residuos de las excavaciones, el concreto, las tejas, los ladrillos y tabiques, tienen un gran potencial de re-aprovechamiento, sin embargo, son materiales que son dispuestos de manera inadecuada en tiraderos clandestinos o terrenos no regulados, ocasionando alteraciones de paisaje, contaminación de suelos y cuerpos de agua subterráneos y superficiales, y de forma importante, obligan al consumo de recursos naturales para la producción de nuevos materiales, al no ser valorizados adecuadamente y tener una segunda vida útil.\n\nEl tipo y composición de los residuos de la construcción tiene variaciones dependiendo de la actividad en que se realicen, que puede ser desde la demolición de una vivienda, la remodelación, la excavación de un predio, la construcción de una edificación o la construcción o mantenimiento de una calle, avenida o carretera.\n\nDerivado de lo antes expuesto, es importante contar con sitios autorizados que cuenten con las características constructivas y de operación para la adecuada disposición de este tipo de residuos.\n","TODOS LOS DOCUMENTOS QUE A CONTINUACIÓN SE ENLISTAN DEBERÁN ADJUNTARSE EN FORMATOS .PDF O .JPG\nEn caso de pago realizado\n1.- Escrito dirigido al Secretario de Medio Ambiente y Recursos Naturales de Hidalgo, en el cual se solicite la evaluación de autorización para la operación de escombreras o sitios de disposición final de residuos provenientes de la construcción.\n2.- Acreditación de la personalidad jurídica del promovente o representante legal, debidamente cotejada por esta Secretaría. en caso de persona física identificación oficial vigente (credencia para votar, cédula profesional, pasaporte, cartilla de servicio militar)\nde ser el caso, la representación de las personas físicas deberá acreditarse mediante carta poder firmada ante dos testigos, acompañada de copias simples de las identificaciones oficiales vigentes de quienes intervienen en el acto. \npersona moral: identificación oficial vigente (credencia para votar, cédula profesional, pasaporte, cartilla de servicio militar). acta constitutiva, poder notarial o nombramiento para representantes legales.\n3.- Título de propiedad inscrito en el Registro Público que corresponda o del documento que acredite la posesión o el derecho para realizar las actividades que se pretenden, debidamente cotejado por esta Secretaría.\n4.- Fotografías del predio, colindancias y de ser el caso de infraestructura existente.","Publicado","Trámite","Alta","De inicio",11314,1076,"","De 30 días hábiles.","DE ACUERDO A LA NATURALEZA DEL PROYECTO.",15,5
6717,"Convocatoria del Instituto de Formación Profesional","No se ha emitido convocatoria alguna\n\n","1.	Ser ciudadano mexicano en pleno ejercicio de sus derechos y contar con una residencia mínima de 3 (tres) años en el Estado de Hidalgo.\n2.	Acreditar estudios concluidos de bachillerato o su equivalente.\n3.	Contar con una estatura mínima: mujeres 1.55 metros y hombres 1.65 metros, con un peso equivalente a la estatura.\n4.	Tener entre 19 y 35 años cumplidos al presentar la documentación requerida.\n5.	Preferentemente sin tatuajes o que estos NO se encuentren en las palmas y/o dorso de las manos, cuello y rostro, en el caso de presentar, estos no deberán estar relacionados con grupos delicuenciales, de naturaleza ofensiva ni tener relaciones con actividades inapropiadas al servicio policial.\n6.	Saber conducir y contar con licencia de manejo vigente, en caso de ser seleccionado se le exigirá de manera permanente.\n7.     No contar con antecedentes negativos en el Registro Nacional de Personal de Seguridad Pública.\n8.	En el caso de los varones, haber cumplido con el Servicio Militar Nacional.\n9.	No tener adicción a sustancias psicotrópicas, estupefacientes u otras que produzcan efectos similares, ni padecer alcoholismo.\n10.	Aprobar los procesos de selección en el Instituto de Formación Profesional.\n11.	Aprobar los procesos de evaluación a practicarse en el Centro Estatal de Evaluación  y Control de Confianza (C-3.\n12.   Seguir Plan de Entrenamiento.\n","Publicado","Trámite","Alta","Informativo",0,26345,"0","45 días hábiles","No se ha emitido convocatoria alguna",5,25
6737,"Titulación UPFIM","Trámite mediante el cual se comprueba que una persona concluyó por completo el Plan de estudios y cumplió con los requisitos necesarios para su obtención en el programa educativo, en  la UPFIM.\n","1.- Copia de TOEFL ITP (1).\n2.- Constancia de Libereración de Servicio Social.\n3.- Original y dos copias de del certificado de bachillerato.\n4.- Original y dos copias de acta de nacimiento.\n5.- Tres copias de CURP.\n6.- Copia de identificación oficial (INE).\n7.- 12 Fotografías tamaño infantil en blanco y negro, papel mate, con retoque, adheribles.\n8.- 4 Fotografías tamaño título en blanco y negro, papel mate, con retoque, adheribles.\n9.- 2 Folders beige tamaño carta.\n10.- 1 Folder azul tamaño oficio.\n11.- Formato DGPEH/001A\n12.- Recibo de pago por proceso de titulación.\n13.- e.firma.\n14.- corre  personal con dominio @gmail.com\n15.- Formato de registro de datos y referencia.\n16.- Historial académico.\n17.- Constancia de no adeudo.","Publicado","Trámite","Alta","De inicio",1285,650,"No aplica","260 Días","Permanente",4,9
6876,"Inscripción UTMZ","Trámite dirigido a aspirantes que cumplieron con requisitos de admisión y fueron aceptados para su ingreso a la Universidad ."," 1.-Acta de nacimiento original y 1  copias t/c,\n 2.-Certificado de bachillerato ó Título de TSU según sea el caso,\n 3.-Copia  de la CURP, \n 4.-Cubrir el pago de inscripción cuatrimestral, y \n 5.-4 Fotografías tamaño infantil Blanco y negro o a color.","Publicado","Trámite","Alta","De inicio",1450,581,"No aplica","5 días hábiles","Cuatrimestral",5,6
6879,"Examen de Ingreso UTMZ","Prueba que se hace al aspirante  para comprobar los conocimientos que posee para ser ingresado a cursas estudios de Educación superior.","1.- Identificación Oficial.\n2- Comprobante de Pago.","Publicado","Trámite","Alta","De inicio",385,560,"No aplica","1 dia ","Publicación de resultados de selección",7,1
6893,"Constancia de Estudios UPMH"," Documento de validez oficial, otorgado a las y los estudiantes que están inscritos en la Universidad Politécnica Metropolitana de Hidalgo","1.- Comprobante de pago en plataforma METRONET","Publicado","Trámite","Alta","De inicio",39.09,1183,"40","3 días hábiles con 2 horas y 5 minutos","4 meses",4,1
6894,"Solicitud de Examen de Admisión UPMH","Es la petición para ser evaluado para ingresar a la Universidad Politécnica Metropolitana de Hidalgo","1.- Hacer el registro en el sistema, de acuerdo a la convocatoria. \n2.- Fotografía digital tipo infantil (rostro, no fotos de perfil de redes sociales, vestimenta formal).\n3.- Contar con un correo electrónico.\n\n4.- Para tu registro puedes subir cualquiera de los siguientes documentos en formato electrónico JPG:\n- Constancia de estudios actual\n- Certificado total de estudios de educación media superior (en caso de ser ya egresado de la EMS)\n","Publicado","Trámite","Alta","Transaccional",0,1165,"","De acuerdo a la Convocatoria vigente","De acuerdo a la Convocatoria vigente",5,3
6895,"Certificados de Estudios Parciales y Totales UPMH"," Documento de validez oficial con las calificaciones de las y los estudiantes así como estado actual académico  ","1.- Número de matrícula de estudiante\n2.- 2 fotografías tamaño credencial óvalo 3.5x5 cm recientes, vestimenta formal, blanco y negro, papel mate, con retoque y fondo blanco, no instantáneas, en caso de las damas, blusa blanca y saco negro, maquillaje discreto, peinado que se permita apreciar sus oídos, Para caballeros, camisa blanca, corbata obscura, saco negro, afeitado, sin barba ni bigote, cabello corto sin aretes. (Solo para certificado parcial)\n3.- Comprobante de pago en plataforma METRONET","Publicado","Trámite","Alta","De inicio",0,1053,"50","9 días hábiles con 2 horas y 5 minutos","1 año",4,3
6896,"Reposición de la Credencial de la UPMH por pérdida","Identificar como alumno inscrito a un programa educativo, para realizar trámites escolares.","1.- Comprobante de pago en plataforma METRONET","Publicado","Trámite","Alta","De inicio",80,1146,"60","3 días hábiles con 2 horas y 5 minutos","3 años",4,1
6919,"Historial Académico UTSH","Documento oficial que avala el desempeño académico y grado de avance del estudiante.","1.- Comprobante de pago.","Publicado","Trámite","Alta","Informativo",41.25,422,"100","15 minutos","4 meses",3,1
6923,"Reposición de credencial UTSH","Credencial escolar que permite la identificación del estudiante","1.- Comprobante de pago.","Publicado","Trámite","Alta","Informativo",193.25,401,"10","10 minutos","3 años, 8 meses",2,1
6930,"Reinsripción UTMZ","Procedimiento mediante el cual el  alumno indica su voluntad de continuar realizando actividades académicas en la Universidad."," 1.- Original y copia  de comprobante de pago.","Publicado","Trámite","Alta","De inicio",6,398,"No aplica","1  habil","Cuatrimestral",4,1
6932,"Constancia Escolar UTMZ","Documento oficial que ampara estudios cursados en la Universidad Tecnológica Minera de Zimapán.","Pago.","Publicado","Trámite","Alta","De inicio",42,300,"No Aplica","2 días hábiles","Cuatrimestral ",6,1
7059,"Solicitud de beca para alumnos del Centro de las Artes de Hidalgo.","Brindar apoyo con una beca del 25%, 50% o 75% para que los alumnos continúen con sus estudios en el Centro de las Artes de Hidalgo en los ciclos de Educación Artística Inicial (Sistema escolarizado) y en los talleres libres cuya condición administrativa lo permita.","1.- Cumplir con las bases de la convocatoria de becas.\n2.- Contestar formato de estudio socioeconómico en el formulario de Google: https://forms.gle/AE1ujbQJvyH4Bvvn6\n3.- Enviar 1 oficio de solicitud de beca en formato PDF o JPG, el cual debe ser dirigido a la Mtra. Ivette Selene Beltrán Tovar; Coordinadora del Centro de las Artes de Hidalgo, mencionar promedio del alumno, datos de modalidad y nombre del taller que ha acreditado. (Descargar ""Carta de Solicitud de Beca).\n4.- Enviar 1 comprobante de ingresos mensuales. (En caso de no contar con comprobante descargar el formato denominado ""Carta compromiso"").\n\nLa información anteriormente solicitada debe ser enviada por correo electrónico a la dirección de: serviciosescolarescah@gmail.com","Publicado","Trámite","Alta","Transaccional",0,791,"300 anuales (150 por semestres(","11 días hábiles. ","De acuerdo a duración el curso, taller o diplomado.",4,1
7328,"Constancia de Estudios UPT","Documento Oficial de estudios con el cual los alumnos(as) avalan estar inscritos de algún programa educativo de la Universidad Politécnica de Tulancingo.","1.- Estar inscrito en un programa educativo que oferta la Universidad Politécnica de Tulancingo\n2.- Comprobante de pago.","Publicado","Trámite","Alta","De inicio",7,546,"","10 minutos","Un Cuatrimestre",2,1
7329,"Historial Académico UPT","Documento Oficial que avala las materias cursadas y las calificaciones obtenidas por el alumnado a la fecha de su emisión de conformidad con algún programa educativo de la Universidad Politécnica de Tulancingo.","1.-Comprobante de pago.","Publicado","Trámite","Alta","De inicio",6,337,"","10 minutos","Permanente",2,1
7397,"Reposición de credencial escolar UPE","Proporcionar una identificación escolar secundaria.","1.- Recibo de pago \n2.- 1 Fotografía tamaño Infantil (a color o blanco y negro)","Publicado","Trámite","Alta","Transaccional",71,265,"10","2 días 5 minutos","12 meses",3,2
7432,"Certificado de Estudios ITESHU.","Es el proceso que realiza el egresado para obtener  el certificado de estudios al haber cubierto totalmente el plan de estudios vigente o el programa de Licenciatura o Posgrado, y cumplir con los demás requisitos establecidos en términos de la legislación aplicable.","1.	Comprobante de pago de derechos.\n2.	4 Fotografías tamaño ovalo.","Publicado","Trámite","Alta","Transaccional",8,509,"","4 días habiles","No tiene Vigencia",5,2
7433,"Constancia Escolar ITESHU.","Solicitud que realiza el estudiante para obtener una constancia escolar.","1. Comprobante de pago de derechos. ","Publicado","Trámite","Alta","De inicio",5,559,"","24 horas","Semestral.",4,1
7434,"Examen de Egreso de Licenciatura UPT","Tramité que deben realizar los estudiantes y egresados de nivel licenciatura de la Universidad Politécnica de Tulancingo, para presentar el Examen General de Egreso de CENEVAL.","1.- Comprobante de pago.\n2.- Identificación del INE.","Publicado","Trámite","Alta","Transaccional",13,372,"","20 minutos","Permanente",2,2
7441," Reposición de credencial ITESHU.","Solicitud que realizan los estudiantes para obtener la reposición de la credencial.","1.  Comprobante  de pago de derechos.","Publicado","Trámite","Alta","Transaccional",6,358,"","24 Horas","Semestral",4,0
